User ID,Gender,Age,EstimatedSalary,Purchased
15624510.00,Male,19.00,19000.00,0.00
15810944.00,Male,35.00,20000.00,0.00
15668575.00,Female,26.00,43000.00,0.00
15603246.00,Female,27.00,57000.00,0.00
15804002.00,Male,19.00,76000.00,0.00
15728773.00,Male,27.00,58000.00,0.00
15598044.00,Female,27.00,84000.00,0.00
15694829.00,Female,32.00,150000.00,1.00
15600575.00,Male,25.00,33000.00,0.00
15727311.00,Female,35.00,65000.00,0.00
15570769.00,Female,26.00,80000.00,0.00
15606274.00,Female,26.00,52000.00,0.00
15746139.00,Male,20.00,86000.00,0.00
15704987.00,Male,32.00,18000.00,0.00
15628972.00,Male,18.00,82000.00,0.00
15697686.00,Male,29.00,80000.00,0.00
15733883.00,Male,47.00,25000.00,1.00
15617482.00,Male,45.00,26000.00,1.00
15704583.00,Male,46.00,28000.00,1.00
15621083.00,Female,48.00,29000.00,1.00
15649487.00,Male,45.00,22000.00,1.00
15736760.00,Female,47.00,49000.00,1.00
15714658.00,Male,48.00,41000.00,1.00
15599081.00,Female,45.00,22000.00,1.00
15705113.00,Male,46.00,23000.00,1.00
15631159.00,Male,47.00,20000.00,1.00
15792818.00,Male,49.00,28000.00,1.00
15633531.00,Female,47.00,30000.00,1.00
15744529.00,Male,29.00,43000.00,0.00
15669656.00,Male,31.00,18000.00,0.00
15581198.00,Male,31.00,74000.00,0.00
15729054.00,Female,27.00,137000.00,1.00
15573452.00,Female,21.00,16000.00,0.00
15776733.00,Female,28.00,44000.00,0.00
15724858.00,Male,27.00,90000.00,0.00
15713144.00,Male,35.00,27000.00,0.00
15690188.00,Female,33.00,28000.00,0.00
15689425.00,Male,30.00,49000.00,0.00
15671766.00,Female,26.00,72000.00,0.00
15782806.00,Female,27.00,31000.00,0.00
15764419.00,Female,27.00,17000.00,0.00
15591915.00,Female,33.00,51000.00,0.00
15772798.00,Male,35.00,108000.00,0.00
15792008.00,Male,30.00,15000.00,0.00
15715541.00,Female,28.00,84000.00,0.00
15639277.00,Male,23.00,20000.00,0.00
15798850.00,Male,25.00,79000.00,0.00
15776348.00,Female,27.00,54000.00,0.00
15727696.00,Male,30.00,135000.00,1.00
15793813.00,Female,31.00,89000.00,0.00
15694395.00,Female,24.00,32000.00,0.00
15764195.00,Female,18.00,44000.00,0.00
15744919.00,Female,29.00,83000.00,0.00
15671655.00,Female,35.00,23000.00,0.00
15654901.00,Female,27.00,58000.00,0.00
15649136.00,Female,24.00,55000.00,0.00
15775562.00,Female,23.00,48000.00,0.00
15807481.00,Male,28.00,79000.00,0.00
15642885.00,Male,22.00,18000.00,0.00
15789109.00,Female,32.00,117000.00,0.00
15814004.00,Male,27.00,20000.00,0.00
15673619.00,Male,25.00,87000.00,0.00
15595135.00,Female,23.00,66000.00,0.00
15583681.00,Male,32.00,120000.00,1.00
15605000.00,Female,59.00,83000.00,0.00
15718071.00,Male,24.00,58000.00,0.00
15679760.00,Male,24.00,19000.00,0.00
15654574.00,Female,23.00,82000.00,0.00
15577178.00,Female,22.00,63000.00,0.00
15595324.00,Female,31.00,68000.00,0.00
15756932.00,Male,25.00,80000.00,0.00
15726358.00,Female,24.00,27000.00,0.00
15595228.00,Female,20.00,23000.00,0.00
15782530.00,Female,33.00,113000.00,0.00
15592877.00,Male,32.00,18000.00,0.00
15651983.00,Male,34.00,112000.00,1.00
15746737.00,Male,18.00,52000.00,0.00
15774179.00,Female,22.00,27000.00,0.00
15667265.00,Female,28.00,87000.00,0.00
15655123.00,Female,26.00,17000.00,0.00
15595917.00,Male,30.00,80000.00,0.00
15668385.00,Male,39.00,42000.00,0.00
15709476.00,Male,20.00,49000.00,0.00
15711218.00,Male,35.00,88000.00,0.00
15798659.00,Female,30.00,62000.00,0.00
15663939.00,Female,31.00,118000.00,1.00
15694946.00,Male,24.00,55000.00,0.00
15631912.00,Female,28.00,85000.00,0.00
15768816.00,Male,26.00,81000.00,0.00
15682268.00,Male,35.00,50000.00,0.00
15684801.00,Male,22.00,81000.00,0.00
15636428.00,Female,30.00,116000.00,0.00
